,fruit,fruit,fruit,sport,sport,sport,bird,bird,bird,vehicle,vehicle,vehicle,crime,crime,crime,vegetable,vegetable,vegetable
Timestamp,apple,fig,strawberry,football,hockey,wrestling,ostrich,wren,robin,boat,tricycle,car,embezzling,murder,vagrancy,parsley,carrot,onion
5/9/2017 22:10:53,2,6,2,2,2,6,6,6,2,6,6,2,4,2,6,5,5,5
5/9/2017 22:17:50,1,4,1,1,1,3,4,3,1,3,4,1,1,1,3,3,1,3
5/9/2017 22:30:07,1,6,1,1,5,6,2,6,2,5,7,1,6,1,7,6,1,1
5/9/2017 22:31:27,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5/9/2017 22:41:34,1,6,2,2,2,2,5,7,2,4,4,1,1,1,2,1,1,1
5/9/2017 23:30:19,1,5,2,1,3,4,5,3,1,4,4,1,2,1,5,5,1,2
5/9/2017 23:31:38,1,6,2,1,6,4,2,7,3,2,5,1,4,1,7,3,1,3
5/9/2017 23:42:57,1,3,1,1,1,3,3,1,1,2,5,1,3,1,6,5,1,3
5/10/2017 0:10:57,1,2,1,1,2,3,3,3,1,3,5,1,3,1,6,2,1,3
5/10/2017 0:17:19,1,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1
5/10/2017 0:27:15,1,1,1,1,1,1,2,2,1,3,6,1,1,1,2,5,1,1
5/10/2017 0:41:04,1,4,1,1,1,1,4,1,1,3,5,1,1,1,6,5,1,1
5/10/2017 0:56:00,1,4,5,1,2,3,4,3,1,1,2,1,3,1,4,6,1,3
5/10/2017 1:18:44,1,5,1,1,1,1,1,2,1,2,4,1,2,1,5,5,1,4
5/10/2017 1:51:37,1,3,1,1,1,2,2,1,1,2,1,1,2,1,2,3,1,1
5/10/2017 1:56:41,7,3,5,6,6,4,4,5,7,7,6,7,6,7,3,2,6,5
5/10/2017 3:07:05,1,6,5,3,1,6,5,2,1,3,5,1,1,1,3,4,1,1
5/10/2017 4:06:49,1,5,3,2,1,4,2,2,1,2,3,1,4,1,6,3,1,5
5/10/2017 4:09:38,1,4,2,1,3,4,3,4,1,4,6,1,4,1,6,5,1,2
5/10/2017 5:49:22,1,4,2,1,3,5,5,2,1,3,5,1,3,1,5,3,5,1
5/10/2017 6:50:00,1,2,1,1,2,2,2,1,1,2,3,1,1,1,4,6,1,2
5/10/2017 8:05:15,1,1,1,1,1,1,1,5,1,1,6,1,1,1,5,1,1,1
5/10/2017 8:10:01,1,1,1,1,1,1,1,1,2,2,2,1,2,1,3,4,1,1
5/10/2017 8:52:56,1,4,2,2,3,4,5,2,1,3,4,1,3,1,4,4,1,2
